Descriptions:,Unit:,Multiplier:,Currency:,Unique Identifier:,Series Name:,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
"Other assets, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B3053NLGDM,B3053NLGDM,657483,651778.1,663921.2,661062.8,657659.9,668314.2,650625.5,661428,674925.5,678114.7,681230,671330.6,687467.4,702069.4,698548,727436.8,749037.7,736678.1,745968.7,743885.1,758840.8,774391.2,762870.2,779442.9,780237.5,777738.2,790429.1,801808.8,804897.5,814706.6,815003.3,828802.4,856587.7,886196.1,939237.7,934332.1,980610.6,979367.9,1042802.5,1009378.5,971112.3,958530.2,1006551.5,1009933,1055210.9,1130798.1,1243320.7,1327916.7,1219646,1155852.6,1178828,1112091.4,1086825.1,1100471,1100994.1,1070798.8,1079530.6,1084233.5,1074573.3,1100268,1136852.5,1150933.5,1140349.5,1117478.4,1131723,1131249.6,1132213.8,1150854.2,1141195.9,1168068.6,1153978.6,1127363.9,1122937.7,1110578.7,1121303.8,1110523.6,1116040.2,1107086.5,1104372.7,1136978.7,1142564.5,1125751.4,1123622,1107709.6,1091007,1082203.1,1063213,1064056.3,1065587.4,1068853.3,1072108,1051706.3,1052706,1043062.4,1045332.6,1042442.3,1042917.5,1049809.4,1035338.6,991430.7,984137.7,984289.1,983068.1,974727.3,976220.8,952544.2,942651.6,957943.3,953542,953666.4,946667.1,940888.2,945927.8,947465.1,950287.5,950959.8,950366.7,959443,964230.1,969694.7,1001293.6,985123.1,999574.3,980575.3,980708.4,971300.6,968664,974053.1,975509.8,973923.2,972541.4,964585.5,1003520.9,1003291.4,987546.7,979051,970611.7,995532.6,997014,994477.2,988039.7,986933.5,992971.5,1001731.5,982936.9,985310.6,981070.7,974610.9,983622.1,982461.2,980305.7,984966.7,994658.1,988503.1,985878.9,971489.8,975465.9,969673.9,961984.2,967305.6,983936.5,973882.4,960830.5,955425.9,965110.2,983701.2,961669.3,943781.4,934298.5,981105.7,994939.1,965084.2,965633.1,989757.5,990944.4,1020126.2,987218.3,979674.9,981165.5,979143.3,1013522.1,1048888,1124837.6,1094179.7,1069808.7,1077598.4,1104502,1091646.9,1106905.5,1101760.6,1084376.8,1096648.2,1140986.7,1165085.9,1157589.4,1145384.7,1133152.1,1162236.9,1154640.3,1158198.2,1172627.8,1199924.2,1212002.5,1163676.3,1203562.8,1229314.5,1236742.9,1265080.9,1271561.5,1263495,1258402.8,1269505.4,1244240.8,1261759.7,1299803,1247400.6,1243192.4,1266324.8,1261911.8
"Total assets, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1151NLGDM,B1151NLGDM,5248655.8,5274588.4,5309935.8,5334313,5370317.2,5390623.7,5375042.3,5437559.9,5491747.3,5506416.6,5536803,5582525.9,5605359.8,5641108.2,5659918.2,5749788.7,5807123.4,5806228,5824234.5,5835068.4,5901100.3,6076895.8,6131538.4,6207155.7,6216426,6227572.9,6254574.6,6295356.4,6323837.7,6354251.4,6364309.3,6485068.1,6608204.8,6682693.5,6836200.8,6880649.7,6928984.5,6944951.4,7032637.1,7009564.8,6975531.1,6940742,6955934,6966264.8,7272926.6,7788085.6,7893394.1,8061019.3,7893075.6,7732781.3,7734823.1,7682377.5,7747460.4,7715613.7,7525475.2,7456301,7479648.8,7478589.3,7530884.5,7517374.7,7437386.7,7461820.9,7474564.5,7637625.2,7615448.1,7546125,7537631,7562824.4,7576718.1,7643110.1,7630182.8,7614353.5,7502781.4,7491036.6,7506503.5,7475384.9,7475743.1,7537439,7585202.1,7648661.5,7679613.8,7674335.7,7705193.6,7764332.1,7738361.5,7753009.9,7709414.4,7683264.3,7703332.5,7771220.5,7812547.7,7815691,7855678.7,7889838.6,7991069,8094954.2,8010787,8022430.5,8079795.1,8082187.1,8090749.7,8126603.4,8144705.3,8161781.6,8224372.3,8302154,8331893.5,8429199.2,8407643.1,8422889.8,8441030,8482193.9,8518210.1,8601518.7,8669188.1,8732002,8840959.3,8832328.6,8956947.5,9087519.5,9162308.5,9179418.8,9256582.5,9234825,9188280,9191026.1,9207063.6,9269388.8,9267567,9294156.4,9374969.8,9401331.4,9411428.9,9458294.4,9500913.1,9568919.6,9576369.7,9661426.9,9677224.7,9728334.4,9791839.4,9788019.4,9823402.5,9863792,9807210,9825016.7,9872724.7,9824144.6,9831046.7,9865445.4,9899715.3,9931144.7,9961891.3,9950405.6,9994498.1,10054453.5,9944740.6,9900221.2,9880989.2,9838316.9,9853579.7,9899307.5,9899694.6,9938055.3,9963934.9,10020879.5,10053168,10167468.2,10068512.1,10094716.4,10194676.9,10195078.6,10205621.6,10301511,10291461.5,10375497.9,10383259.2,10461609.6,10525104.4,10566936.1,10525896,10583034.1,11190006.2,11721473,11899419.6,12008965.2,11989806.1,12010760.4,12038219.9,12057532.6,12217323.2,12380824.9,12329742.8,12342599.1,12528496.9,12612013,12642987.6,12676369.9,12710005.2,12873535.7,12957849.4,13060854.4,13221614.3,13341847.4,13221684,13197212.7,13304692.1,13203965.8,13127973.8,13153231.2,13206638.4,13187405.1,13094086.9,13051224.9,13127242.1,13147818.5,13037500.4,12950968,13151255.4
"Deposits, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1058NLGDM,B1058NLGDM,3203317.5,3218705.1,3239579.9,3261235.1,3248922.6,3283421,3293166,3309143.5,3336219.8,3355869,3391231.6,3429083.8,3425711.6,3430198.2,3444121.3,3486738.9,3478392.6,3495114.2,3491324.5,3482209.1,3492606,3570997.8,3586924.3,3626733.5,3620478.3,3619896.9,3658813.1,3688245,3649092.5,3648740.8,3655708.5,3686206.1,3702529.6,3781950.7,3854852.8,3896269.4,3865388.1,3880285,3945978.9,3952504.1,3889497.5,3886606.2,3889927.2,3883010.4,4085561.6,4330114.6,4346482.6,4459666.1,4400745.8,4381386.8,4442907.2,4429931.1,4454667,4487125.1,4445433.5,4454983.5,4471103.1,4490135.7,4541087.6,4565274.9,4513529,4519398.7,4547392.6,4559912.1,4547364.7,4562222.8,4541098.3,4549397.1,4581357.9,4618083.6,4670901.7,4700678.9,4674559.2,4701524.4,4747880.3,4783714,4781340.3,4846115.6,4995042.2,5128486.2,5149604.5,5196344.3,5261367.8,5327228,5316636.1,5318252.6,5370206.2,5390067.2,5355756,5427170.7,5472708.1,5500903.7,5547550.7,5621974.1,5747425.4,5865767.1,5789292.1,5767831.4,5839938.6,5859418.3,5818465.4,5840776.3,5881774.1,5902635.7,5941283.5,6050064,6059860.6,6160281.7,6142157,6159048.7,6207345.7,6243114,6215467.6,6258934.6,6305996.6,6306433.7,6403085.8,6362581.7,6452967.7,6592533.4,6562330.2,6600694,6658326.8,6645626.1,6603399.6,6643101.1,6673058.9,6699817.2,6721849.8,6744077.4,6812572.4,6868452.3,6826005,6853626,6932775.3,6990751.2,6956831.9,7026923.4,7049129.1,7113119.1,7148680.3,7189250.9,7238180.5,7316098.5,7289497.2,7276172.3,7345374.4,7342621.5,7313847.1,7318339,7362471.8,7373910,7400641.5,7450975.6,7477751.6,7561650,7499927,7486475.3,7563362.3,7551526.3,7514446.6,7559446.5,7586831.6,7612165.1,7638577,7659630.5,7677182.6,7834163.7,7778624.4,7763161.4,7873974.6,7904778.6,7872554.7,7936707,7958679.2,7972338.5,8031781,8103226,8178833.3,8244440.9,8216411,8239941.2,8737249.1,9282755.8,9555767.1,9736911.1,9743260.9,9750469.9,9838241.4,9892945,10036213.5,10197130.5,10161193,10208584,10448349.8,10537679.2,10573863.2,10632863.7,10709225.6,10826216,10908735.8,10978374.8,11124109.7,11319492.7,11243020.7,11218634.7,11369384,11295435.7,11156437.2,11135418.1,11128526.4,11099938,11009445.2,10888044.9,10889377.7,10987307.5,10835710.4,10710572.2,10733019
"Large time deposits, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1072NLGDM,B1072NLGDM,431203.4,443371.7,444733.6,451876.5,458203.8,467658.1,478105.1,480547.5,495746.7,503147.3,512078.4,528506.2,538237.8,547328.4,550458.3,565645.2,584934.9,598681.8,604335.7,601177.9,602496.3,611498.3,607167.3,608355.6,603586.3,599565.1,591704.2,577306.4,573637.9,572889.6,582458.4,599272.5,606155.1,648525.2,682650.2,689759.4,686301,679618.9,690331.7,680094.5,661832.6,659845.1,666146.2,659461.5,719164,808058.7,740973,727252.4,691964.9,659504.8,652286.1,632300.5,622244.6,611806,602545.2,595431.2,574733.7,546173.8,532296.6,512205.9,498029.1,480176.5,464508.6,453892.5,451501.3,449311.3,439978.1,433510.9,427716.5,422199,405667,386489.3,381121.4,381206.5,373380,373851.4,370566.6,366030.1,375773.4,372571.1,375673.2,384820.3,393710.1,390417.9,380612.6,379656.5,378041.5,385226.3,381010.1,402793.8,413545,407087.9,401585.2,401243,393442.6,402952,385661.1,380468.4,370250.6,362796.2,366061.1,377343.1,384288.5,381358.9,379059.7,376787.2,372902.3,380668.8,388312.7,381694.8,378635.5,398707.1,399780.6,402009,401212.7,385974.4,379072.8,381389.7,435574.9,465482.7,486413.5,478717.2,474502,472606.8,480846.1,491634.3,508399.6,509052.8,489443.8,494859.6,503685.7,513965.7,519127.3,537135.6,527063.8,524286,519751.5,536811.4,530379.5,520242.3,494415.3,482328.9,482553.3,486100.1,493839.3,486462.3,484008,495353.5,490268.4,485652.3,481655.9,484257.1,482714.8,484059.5,484248.1,489628.3,495980.3,488222.8,479830.9,483783,483642.7,498863.2,509476.4,506344,528289.4,547357.5,543079.9,559408.2,583709.2,600219.8,616189.9,629815.6,608425.1,582551.7,588266.9,586247.2,591921.7,586644.3,580001.8,580309.4,581169.3,581363.2,587570.1,571472.5,528454.9,493550.5,465098.3,430626.4,400045,385365.7,373501.1,364300.1,354747.7,345229,339581.3,332176.9,320445.7,316297.2,313713.8,312459.9,308072.5,313032.8,317129.9,314070.3,311354.5,312596.7,320165.8,326865,332691.4,346433.2,367567.9,379887.3,376353.8,348009.9,355155.7,378312.9,419321.2,462784.6,514213.4
"Other deposits, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1110NLGDM,B1110NLGDM,2772114.1,2775333.4,2794846.3,2809358.6,2790718.9,2815762.9,2815060.9,2828596.1,2840473.1,2852721.7,2879153.2,2900577.5,2887473.8,2882869.8,2893663,2921093.7,2893457.8,2896432.4,2886988.8,2881031.3,2890109.7,2959499.5,2979757.1,3018377.8,3016892,3020331.8,3067109,3110938.6,3075454.6,3075851.2,3073250.1,3086933.6,3096374.5,3133425.5,3172202.6,3206510,3179087.1,3200666.1,3255647.2,3272409.6,3227664.9,3226761.1,3223781,3223548.9,3366397.6,3522055.9,3605509.6,3732413.7,3708780.9,3721882,3790621.1,3797630.6,3832422.5,3875319.1,3842888.2,3859552.3,3896369.4,3943961.9,4008791,4053069,4015499.8,4039222.2,4082884,4106019.6,4095863.4,4112911.5,4101120.2,4115886.2,4153641.3,4195884.6,4265234.7,4314189.6,4293437.8,4320317.9,4374500.3,4409862.6,4410773.7,4480085.5,4619268.8,4755915.1,4773931.3,4811524,4867657.7,4936810.1,4936023.5,4938596.2,4992164.7,5004840.9,4974745.9,5024376.9,5059163.1,5093815.7,5145965.6,5220731.1,5353982.9,5462815.1,5403631,5387362.9,5469688,5496622.1,5452404.3,5463433.2,5497485.6,5521276.8,5562223.8,5673276.9,5686958.3,5779612.9,5753844.3,5777353.9,5828710.2,5844406.9,5815687,5856925.5,5904783.9,5920459.3,6024013,5981192,6017392.8,6127050.7,6075916.7,6121976.7,6183824.9,6173019.3,6122553.5,6151466.9,6164659.3,6190764.3,6232405.9,6249217.8,6308886.7,6354486.6,6306877.7,6316490.3,6405711.6,6466465.1,6437080.5,6490112.1,6518749.6,6592876.8,6654265.1,6706922,6755627.2,6829998.4,6795657.9,6789710,6861366.4,6847268.1,6823578.7,6832686.8,6880815.9,6889652.9,6917926.7,6966916.2,6993503.5,7072021.7,7003946.7,6998252.5,7083531.4,7067743.2,7030803.9,7060583.4,7077355.3,7105821,7110287.6,7112273,7134102.8,7274755.5,7194915.2,7162941.6,7257784.7,7274963,7264129.6,7354155.3,7370412.3,7386091.3,7439859.3,7516581.8,7598831.5,7664131.5,7635241.7,7658578,8149679,8711283.3,9027312.2,9243360.6,9278162.6,9319843.5,9438196.3,9507579.3,9662712.4,9832830.4,9806445.2,9863354.9,10108768.5,10205502.3,10253417.5,10316566.5,10395511.8,10513756,10600663.2,10665341.9,10806979.8,11005422.3,10931666.2,10906037.9,11049218.2,10968570.7,10823745.7,10788984.9,10760958.5,10720050.6,10633091.3,10540035,10534222,10608994.5,10416389.2,10247787.6,10218805.6
"Borrowings, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B3094NLGDM,B3094NLGDM,866327,880627.2,891542.3,902239.9,914312.6,914440.7,894371,911377.4,931156.3,921543.3,909804,921993.8,938521.3,965280,971442.7,992290.6,1015226.3,1010552.2,986667,982057.3,1028643.8,1064502.2,1060109.2,1053477.1,1056929.4,1066030.7,1090282.9,1108275.8,1112044.8,1132324.1,1135185.7,1186223.6,1245072.6,1193374.8,1195207.9,1199418.4,1191486.2,1190616.7,1217855.7,1250826.6,1257188.1,1249353.2,1254132.7,1279741.6,1360658.2,1572057.7,1556882.8,1469776.8,1425602.1,1426397.8,1408598.7,1387425,1408461.6,1365386.8,1223263.9,1161265.1,1110044.1,1095325.7,1076568.4,1071211,1103881.5,1120345.3,1140833.3,1346056.8,1314311.6,1234671.1,1192423.5,1187381.6,1172518.4,1153043.7,1119013.5,1103538.1,1030359.6,1040518.5,1017768.4,931009.5,915329.3,919175.5,879166.5,863324.1,853162.1,844468.7,852523.8,842515.7,828287.4,828244.8,796919.4,768019.5,789679.6,789508,790461.2,777026.2,787115.2,782757.5,763145.1,761835.7,767981.6,763298.2,745792.4,735110.6,748012,730602.8,722260.4,713285.6,719543.2,712760.9,724421.3,725474.7,745352.7,738716.7,744624.5,757819.5,770766.4,781953.8,775610.1,767590.9,784757.2,787506.8,784289.9,789120.5,805341.8,794529.7,801025,802196.1,823301.6,814414.2,806652.2,796139.2,782260,803612,809015.3,813132.8,826490.9,841463.8,833282.1,816708.6,847513.6,848318.5,841952.3,832873.2,859028.8,844550.3,838172.9,824878,833293,843367.4,820469.1,801618.7,824264.5,813128,809506,819552,831049.8,816146.6,811487.8,813137.5,827092.9,844586.7,813019.8,801709.3,820037.7,815732.6,799352.7,794495.6,786620.5,812847.4,796795.9,778110.4,787111.8,790391.6,771540,793420.1,815688,804921.2,789233.8,770654.3,779563.6,781941,759404.4,749800.2,742935.1,737662,808405.1,801705,719418.3,656001.5,627609.6,613523.5,587305.2,559954,548045.3,534483.6,512048.2,510811.6,504307.1,474740.3,454264.5,425998.9,407754.9,409607.4,412803.2,436731.7,429276.8,411031.9,401846.8,406324.2,391117.9,393059.7,437511.5,469644.9,493791.6,496170.6,517027,546644.6,601134,581155.1,619756.7,644368.4,837582.9
"Net due to related foreign offices, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1100NLGDM,B1100NLGDM,229333.1,214098.1,208179.7,196013.3,224453.9,201226.9,215089.6,230936.1,227839.6,247212.3,238400.3,240252,249680.6,238543.9,228110.6,228207.6,249680.6,248799.9,283478.3,288164.4,281813.2,275765.3,303101.3,337896.8,355962.6,360385.8,324360.4,317755.7,359096.9,360684.8,370977.1,373579.9,397013.7,415779.1,435285.4,450219.5,500677.6,482730.5,456693.5,444341.2,489730.3,488908.3,483048.2,462131.9,449243.9,464065.7,509343.5,550490.8,579434.6,477530.6,419539.7,451684.6,475734.2,462308.7,466362,473629.3,515884.6,521121.3,514587.3,476600.9,428980.9,421722.9,390132.3,347205,317995.5,307054.9,339020.6,323828.3,304262.7,323952.8,315484.8,306769,305791.4,296486.6,278685.6,274510.5,261843.1,232033.4,187632.2,75366.4,69279.5,47883.5,-10900.9,14542.2,9070.6,10175.5,-34262.4,-40813,-20720.5,-33575,-31470.5,-44017.2,-76292.1,-104051.6,-125512.1,-139599.7,-114658.7,-91486.5,-87308.8,-97422.3,-57148,-11600.5,3577.2,4061.7,17399.9,5970.1,6022.5,-4182.3,-22242.9,-30196.7,-62446.4,-49843.5,-20110.8,12008.2,40524.4,90761.6,69465.5,80041.7,89681.9,55751.5,65629.6,72839.3,83662.6,81162.5,68971.3,48887.6,55845.2,76118,69154.2,45916.4,42487.1,31483,56192.2,50013.5,41872.8,62109.3,77551.3,66941.2,55677.9,46091.8,51446.5,28806.8,40465.7,24794.7,13827.1,20658.4,28343.4,6983.4,4005.4,27440.6,10051.5,12143.5,-6684.5,-28076.8,489,-15575.4,-55902.5,-81664.8,-139951.8,-157359.6,-144955.8,-140677.2,-148844,-150216.7,-153870,-168339.4,-144304.2,-148387.4,-171843.8,-184237.1,-195445.2,-202044.6,-204710.6,-199233.7,-227574.1,-188822.8,-241080.7,-234602.8,-235487.3,-250534.3,-276303.5,-280024.1,-303859.3,-175924.9,-165494.9,-186284.8,-177529.5,-160563.6,-188542.1,-196516.5,-199974.9,-197562.6,-254612.2,-264436.8,-302565.2,-276175.6,-270384.1,-280944.2,-321687.8,-304463.8,-307333.8,-297977.1,-273720.2,-277848.9,-340420.7,-346239.1,-381103.4,-408378.3,-382783.8,-367178.8,-365960.2,-365344.6,-373288.9,-326561,-334829,-376367.4,-380437.3,-372181.3,-389353.8
"Other liabilities, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B3095NLGDM,B3095NLGDM,410803.2,419219.4,422222.1,425821,429997.8,433186.9,414098.1,424233.9,432677.1,421724.4,430974.8,420603.7,418835,429749.4,429025,451453.5,465757.2,454013.8,459399.6,472342.8,471678.8,495119.4,505763.3,498776.6,488303.9,490376.9,488795,489332.4,508311.3,517882.3,502993.3,521801.1,531732.3,550492.7,596181,578727.5,596309.7,615869.6,640050.2,588359.2,560875.4,541489.5,545453.4,558024,579738.8,624305.6,681206.1,759397.2,680955.5,616809.9,626319.6,566930.1,550426.1,545273.6,509623.1,484454.9,484666.7,458817.4,467491.8,470640.9,458881.8,454808.9,452633.9,449063.4,489596.5,488513.7,506372.2,530536.1,545758.3,580281.4,554224.4,525287.8,514892.6,475036.6,477732.9,476925.7,491877.4,496737.3,518011,547534.1,558019.5,551534.4,561652.7,536631.1,539960.5,540621.7,515900.4,519742.5,525384.5,527728.1,515808.9,508103.1,511765.9,501089,499210.2,498396,479104.8,486175.8,483414.4,483452.1,480381.5,473258.1,456743.8,454573.3,453718.5,438037.3,432955.3,434197.1,422683.6,426555.4,420435.7,396838.8,402827.5,395517.6,401998.5,412512.8,428553.3,444572.7,461715,475113.1,510452.8,491793.7,488689.1,471253.9,457960.1,451972,437974.1,451411.1,441471.3,443189,445316.8,419224.5,435186,442498.3,430391.1,433698.6,425247.4,437876.3,447537,449523.1,440178.9,436641.8,431118.2,422535.9,393805.6,402656.6,399386.6,389074.2,395488.1,399319.8,402081,395721.3,400288.4,390238.2,386913.5,380169.6,398627,382253.9,369300.1,371752.4,388276.6,378664.9,372184.2,385890.2,400606.5,409318.4,403332,387773,373783.4,406756.6,416175.9,374207.8,380460.6,399637.7,393934.2,425885.2,419215,415337.9,417423.1,402926.6,422941.5,457222.3,536577.4,499863.2,484901,478820.5,474307.8,470153.5,445933.6,455675.8,461999,455742.5,485526.9,481423.6,492004,472687.6,471092.1,475570.3,460990.1,474094.2,480150.8,496480.9,501511.3,456282.3,469576.5,464684.6,475435.2,487190.4,483289.7,484904.4,488027.5,497243.1,500871.9,524277.4,543314.2,508688.9,498524.7,498294,488861.9
"Total liabilities, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1152NLGDM,B1152NLGDM,4709780.9,4732649.8,4761524,4785309.3,4817687,4832275.5,4816724.6,4875690.9,4927892.8,4946349,4970410.7,5011933.2,5032748.6,5063771.4,5072699.7,5158690.6,5209056.8,5208480.1,5220869.4,5224773.6,5274741.8,5406384.6,5455898.1,5516884.1,5521674.2,5536690.3,5562251.4,5603608.8,5628545.5,5659632,5664864.6,5767810.6,5876348.2,5941597.4,6081527.1,6124634.9,6153861.5,6169501.8,6260578.4,6236031.2,6197291.3,6166357.1,6172561.5,6182907.9,6475202.5,6990543.6,7093915,7239330.9,7086738,6902125.1,6897365.1,6835970.9,6889288.9,6860094.1,6644682.4,6574332.8,6581698.5,6565400.1,6599735.2,6583727.8,6505273.1,6516275.9,6530992.1,6702237.3,6669268.3,6592462.5,6578914.6,6591143,6603897.2,6675361.5,6659624.4,6636273.9,6525602.8,6513566.1,6522067.2,6466159.7,6450390,6494061.8,6579851.9,6614710.8,6630065.6,6640230.9,6664643.3,6720917,6693954.5,6697294.6,6648763.5,6637016.3,6650099.7,6710831.8,6747507.7,6742015.8,6770139.8,6801768.9,6884268.7,6986399.1,6921719.8,6925818.9,6981836.6,6980558.7,6989710.9,7033036.8,7064355.5,7074556.3,7131945.1,7206832.4,7223259.8,7315771.2,7287950.4,7294124.1,7309959.5,7347928.8,7368950.7,7448414.1,7524129.6,7577299,7685861.7,7674703,7788654.4,7912518.4,7943754.4,7959856.7,8031703.5,8000238.6,7953632.6,7958374.9,7973530.4,8023485.5,8014735.2,8036794.9,8109391.6,8132292.7,8143874.1,8187601.7,8238321.3,8303267.5,8307144.2,8380059.5,8394296.3,8441607.2,8499334.6,8499249.8,8547937.3,8588307.1,8530422.9,8542854.7,8593573.6,8540297.8,8537605.1,8558227.5,8584110.4,8601326.8,8625295.3,8629283.6,8676641.9,8739381.6,8669744.4,8631651,8605730.4,8567628.3,8577805.1,8613166.7,8609524.6,8642334.2,8671934.1,8713456.9,8733006.4,8851659.7,8767675.8,8776072.5,8866245.3,8870362,8863992.6,8942032.2,8914273.1,8980055.2,8989478.9,9065902.1,9120173.5,9146633.3,9105984.1,9154801.5,9778372.3,10408399,10594591.5,10685448.3,10667648.8,10673583.2,10682938,10712058.2,10846282.8,10989794,10904155.9,10936382.5,11142095.7,11208931.6,11228835.7,11253488.6,11256282.7,11405453.8,11494355.9,11613610.3,11781177.6,11908958,11774023.3,11743404.3,11854833.8,11767307.5,11694454.6,11722788.6,11744385.4,11728007.1,11654055.1,11632405.9,11698996.9,11700784,11573554.6,11481053.3,11670109.9
"Residual (assets less liabilities), large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1091NLGDM,B1091NLGDM,538875,541938.6,548411.7,549003.7,552630.3,558348.2,558317.7,561869,563854.4,560067.6,566392.2,570592.7,572611.3,577336.8,587218.5,591098.1,598066.7,597747.9,603365,610294.7,626358.5,670511.2,675640.3,690271.6,694751.8,690882.7,692323.2,691747.5,695292.2,694619.4,699444.8,717257.5,731856.6,741096.1,754673.7,756014.9,775122.9,775449.6,772058.7,773533.7,778239.8,774384.9,783372.5,783356.9,797724.1,797541.9,799479.1,821688.4,806337.6,830656.2,837458,846406.6,858171.5,855519.5,880792.8,881968.2,897950.3,913189.2,931149.3,933646.9,932113.6,945545.1,943572.4,935387.9,946179.9,953662.5,958716.4,971681.4,972820.9,967748.6,970558.3,978079.7,977178.6,977470.5,984436.2,1009225.3,1025353,1043377.2,1005350.2,1033950.7,1049548.1,1034104.8,1040550.3,1043415.1,1044406.9,1055715.3,1060650.9,1046248,1053232.8,1060388.7,1065040.1,1073675.2,1085538.8,1088069.8,1106800.4,1108555,1089067.3,1096611.6,1097958.5,1101628.4,1101038.8,1093566.6,1080349.8,1087225.3,1092427.2,1095321.6,1108633.8,1113428,1119692.7,1128765.6,1131070.5,1134265.2,1149259.4,1153104.6,1145058.6,1154703,1155097.6,1157625.6,1168293.1,1175001.2,1218554,1219562,1224879,1234586.4,1234647.4,1232651.3,1233533.2,1245903.3,1252831.8,1257361.6,1265578.2,1269038.7,1267554.8,1270692.8,1262591.8,1265652,1269225.4,1281367.4,1282928.4,1286727.2,1292504.7,1288769.6,1275465.2,1275484.9,1276787.2,1282162.1,1279151.1,1283846.8,1293441.6,1307217.9,1315604.9,1329817.9,1336596.1,1321122,1317856.2,1315071.9,1274996.3,1268570.2,1275258.8,1270688.6,1275774.6,1286140.8,1290170,1295721.2,1292000.8,1307422.6,1320161.6,1315808.5,1300836.2,1318644,1328431.6,1324716.6,1341629,1359478.8,1377188.5,1395442.6,1393780.2,1395707.5,1404930.9,1420302.8,1419911.9,1428232.6,1411633.9,1313074,1304828,1323516.9,1322157.3,1337177.2,1355281.9,1345474.4,1371040.4,1391030.9,1425586.9,1406216.7,1386401.1,1403081.4,1414151.8,1422881.2,1453722.5,1468081.9,1463493.5,1447244.1,1440436.7,1432889.4,1447660.7,1453808.3,1449858.3,1436658.3,1433519.2,1430442.6,1462253,1459398,1440031.8,1418818.9,1428245.2,1447034.5,1463945.8,1469914.7,1481145.5
